,source,target,value
428,Dany ,Jhogo ,3
429,Dany ,Mirri ,8
430,Dany ,Mormont ,4
431,Dany ,Maz Duur ,5
432,Dany ,Xaro ,5
433,Dany ,Ben ,6
434,Dany ,Belwas ,5
435,Dany ,Kraznys ,3
436,Dany ,Missandei ,9
437,Dany ,Grey Worm ,5
438,Dany ,Daario ,8
439,Dany ,Reznak ,5
440,Dany ,Hizdahr ,3
441,Dany ,Arstan ,5
442,Illyrio ,Viserys ,6
443,Illyrio ,Tyrion ,6
444,Illyrio ,Mopatis ,6
445,Viserys ,Drogo ,5
446,Viserys ,Targaryen ,5
447,Drogo ,Doreah ,3
448,Rhaegar ,Elia ,5
449,Rhaegar ,Jorah ,7
450,Rhaegar ,Lyanna ,4
451,Rhaegar ,Barristan ,3
452,Rhaegar ,Stark ,4
453,Rhaegar ,Targaryen ,11
454,Rhaegar ,Frey ,4
455,Rhaegar ,Ned ,3
456,Elia ,Aegon ,3
457,Elia ,Tywin ,3
458,Elia ,Gregor ,5
459,Elia ,Clegane ,3
460,Willem ,Lannister ,4
461,Willem ,Darry ,4
462,Willem ,Frey ,3
463,Aegon ,Jaime ,4
464,Aegon ,Daeron ,3
465,Aegon ,Maegor ,3
466,Aegon ,Rhaenys ,6
467,Aegon ,Harren ,3
468,Aegon ,Stark ,3
469,Aegon ,Targaryen ,10
